goos: darwin
goarch: arm64
pkg: github.com/krishna-kudari/ratelimit
cpu: Apple M4
BenchmarkSlidingWindow_WindowSizes/24h-10    	19508797	        63.40 ns/op	     120 B/op	       0 allocs/op
BenchmarkSlidingWindow_WindowSizes/24h-10    	19689211	        64.14 ns/op	     149 B/op	       0 allocs/op
BenchmarkTokenBucket_AllowN/n=1-10           	20207221	        58.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkTokenBucket_AllowN/n=1-10           	20354277	        59.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkTokenBucket_AllowN/n=1-10           	20454007	        59.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkTokenBucket_AllowN/n=5-10           	19164366	        60.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkTokenBucket_AllowN/n=5-10           	19313912	        61.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkTokenBucket_AllowN/n=5-10           	20435139	        59.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkTokenBucket_AllowN/n=10-10          	20316170	        61.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkTokenBucket_AllowN/n=10-10          	17888367	        59.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkTokenBucket_AllowN/n=10-10          	20389308	        59.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreFilter_CMSBlocks-10              	14096984	        84.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreFilter_CMSBlocks-10              	14143291	        84.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkPreFilter_CMSBlocks-10              	14163921	        84.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkCMS_MillionUniqueKeys-10            	 4187043	       330.0 ns/op	      22 B/op	       1 allocs/op
BenchmarkCMS_MillionUniqueKeys-10            	 4070769	       306.2 ns/op	      22 B/op	       1 allocs/op
BenchmarkCMS_MillionUniqueKeys-10            	 4132365	       315.3 ns/op	      22 B/op	       1 allocs/op
BenchmarkCMS_MemoryFixed-10                  	 3559824	       350.9 ns/op	      31 B/op	       1 allocs/op
BenchmarkCMS_MemoryFixed-10                  	 3566406	       339.6 ns/op	      31 B/op	       1 allocs/op
BenchmarkCMS_MemoryFixed-10                  	 3657794	       336.8 ns/op	      31 B/op	       1 allocs/op
PASS
ok  	github.com/krishna-kudari/ratelimit	139.345s
